District: Descending,Count,Arrest: Descending,Count,Domestic: Descending,Count
11,"18,596",FALSE,"12,035",FALSE,"9,158"
11,"18,596",FALSE,"12,035",TRUE,"2,877"
11,"18,596",TRUE,"6,561",FALSE,"6,109"
11,"18,596",TRUE,"6,561",TRUE,452
8,"17,482",FALSE,"14,549",FALSE,"12,311"
8,"17,482",FALSE,"14,549",TRUE,"2,238"
8,"17,482",TRUE,"2,933",FALSE,"2,419"
8,"17,482",TRUE,"2,933",TRUE,514
6,"16,158",FALSE,"12,720",FALSE,"9,569"
6,"16,158",FALSE,"12,720",TRUE,"3,151"
6,"16,158",TRUE,"3,438",FALSE,"2,797"
6,"16,158",TRUE,"3,438",TRUE,641
4,"14,984",FALSE,"12,154",FALSE,"9,417"
4,"14,984",FALSE,"12,154",TRUE,"2,737"
4,"14,984",TRUE,"2,830",FALSE,"2,139"
4,"14,984",TRUE,"2,830",TRUE,691
25,"14,496",FALSE,"11,564",FALSE,"9,574"
25,"14,496",FALSE,"11,564",TRUE,"1,990"
25,"14,496",TRUE,"2,932",FALSE,"2,407"
25,"14,496",TRUE,"2,932",TRUE,525
,"81,716",,,,
Arrest,"18,694",,,,
Domestic ,"15,816",,,,
DA,"2,823",,,,
